2020-01-09T17:55:36.584-0500 I NETWORK  [js] Starting new replica set monitor for prod-cluster-shard-0/prod-cluster-shard-00-00-v4dbc.mongodb.net:27017,prod-cluster-shard-00-01-v4dbc.mongodb.net:27017,prod-cluster-shard-00-02-v4dbc.mongodb.net:27017
2020-01-09T17:55:36.964-0500 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Successfully connected to prod-cluster-shard-00-01-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-01-v4dbc.mongodb.net:27017 with a 5 second timeout)
2020-01-09T17:55:36.967-0500 I NETWORK  [js] Successfully connected to prod-cluster-shard-00-00-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-00-v4dbc.mongodb.net:27017 with a 5 second timeout)
2020-01-09T17:55:37.241-0500 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Successfully connected to prod-cluster-shard-00-02-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-02-v4dbc.mongodb.net:27017 with a 5 second timeout)
deleted-2019-11-27-dougmcd, U00002486 > deleted-2020-01-09-U00002486
deleted-2019-11-27-wpj, U00004105 > deleted-2020-01-09-U00004105
deleted-2019-11-27-keb253, U00013655 > deleted-2020-01-09-U00013655
deleted-2019-11-27-arentuza, U00016526 > deleted-2020-01-09-U00016526
deleted-2019-11-27-ldantas, U00053002 > deleted-2020-01-09-U00053002
deleted-2019-11-27-jgittens, U00066062 > deleted-2020-01-09-U00066062
deleted-2019-11-27-ozed, U00069555 > deleted-2020-01-09-U00069555
deleted-2019-11-27-brynnea, U00077079 > deleted-2020-01-09-U00077079
deleted-2019-11-27-epolson, U00087375 > deleted-2020-01-09-U00087375
deleted-2019-11-27-mhop, U00121051 > deleted-2020-01-09-U00121051
deleted-2019-11-27-bobellis, U00137081 > deleted-2020-01-09-U00137081
deleted-2019-11-27-grace17, U00146568 > deleted-2020-01-09-U00146568
deleted-2019-11-27-breton, U00161787 > deleted-2020-01-09-U00161787
deleted-2019-11-27-katieb14, U00186384 > deleted-2020-01-09-U00186384
deleted-2019-11-27-asreeram, U00187888 > deleted-2020-01-09-U00187888
deleted-2019-11-27-rrs, U00202538 > deleted-2020-01-09-U00202538
deleted-2019-11-27-wmau, U00246125 > deleted-2020-01-09-U00246125
deleted-2019-11-27-nidaflo, U00285186 > deleted-2020-01-09-U00285186
deleted-2019-11-27-xichaowu, U00294104 > deleted-2020-01-09-U00294104
deleted-2019-11-27-hughesqf, U00326568 > deleted-2020-01-09-U00326568
deleted-2019-11-27-rsprague, U00336512 > deleted-2020-01-09-U00336512
deleted-2019-11-27-bincai, U00358617 > deleted-2020-01-09-U00358617
deleted-2019-11-29-tobiasfk, U00394112 > deleted-2020-01-09-U00394112
deleted-2019-11-27-soromi, U00400844 > deleted-2020-01-09-U00400844
deleted-2019-11-27-dfbaroni, U00421166 > deleted-2020-01-09-U00421166
deleted-2019-11-27-khodeir, U00426080 > deleted-2020-01-09-U00426080
deleted-2019-11-27-jmendo, U00429834 > deleted-2020-01-09-U00429834
deleted-2019-11-27-ahohreit, U00452216 > deleted-2020-01-09-U00452216
deleted-2019-11-27-eborkan, U00453026 > deleted-2020-01-09-U00453026
deleted-2019-11-27-cecilyd, U00459129 > deleted-2020-01-09-U00459129
deleted-2019-11-27-jctesoro, U00526836 > deleted-2020-01-09-U00526836
deleted-2019-11-27-browntm, U00535331 > deleted-2020-01-09-U00535331
deleted-2019-11-27-karensr, U00570080 > deleted-2020-01-09-U00570080
deleted-2019-11-27-audram, U00576480 > deleted-2020-01-09-U00576480
deleted-2019-11-27-erinsh, U00582168 > deleted-2020-01-09-U00582168
deleted-2019-11-27-yaakov, U00606909 > deleted-2020-01-09-U00606909
deleted-2019-11-27-yiffy, U00620868 > deleted-2020-01-09-U00620868
deleted-2019-11-27-sarahkas, U00631587 > deleted-2020-01-09-U00631587
deleted-2019-12-06-joecoco, U00634070 > deleted-2020-01-09-U00634070
